sample,genotype
CD0243d,wild.type
CD0243e,wild.type
CD0245a,wild.type
CD0245c,wild.type
CD0245d,wild.type
CD0245e,wild.type
CD0247a,wild.type
CD0247c,wild.type
CD0247d,wild.type
CD0247e,wild.type
CD0247f,wild.type
CD0248a,wild.type
CD0248c,wild.type
CD0248d,wild.type
CD0248e,wild.type
CD0248f,wild.type
CD0250d,wild.type
CD0250e,wild.type
CD0251a,wild.type
CD0251c,wild.type
CD0251d,wild.type
CD0251e,wild.type
CD0253a,wild.type
CD0253c,wild.type
CD0253d,wild.type
CD0253e,wild.type
CD0254a,wild.type
CD0254c,wild.type
CD0254d,wild.type
CD0254e,wild.type
CD0255a,wild.type
CD0255c,wild.type
CD0255d,wild.type
CD0255e,wild.type
CD0255f,wild.type
CD0255g,wild.type
CD0255h,wild.type
CD0255i,wild.type
CD0255j,wild.type
CD0255k,wild.type
CD0256a,wild.type
CD0256c,wild.type
CD0256d,wild.type
CD0256e,wild.type
CD0256f,wild.type
CD0256g,wild.type
CD0256h,wild.type
CD0256i,wild.type
CD0256j,wild.type
CD0256k,wild.type
CD0257a,wild.type
CD0257c,wild.type
CD0257d,wild.type
CD0257e,wild.type
CD0257f,wild.type
CD0257h,wild.type
CD0257i,wild.type
CD0257j,wild.type
CD0258a,wild.type
CD0258c,wild.type
CD0258d,wild.type
CD0258e,wild.type
CD0258f,wild.type
CD0258g,wild.type
CD0258h,wild.type
CD0258i,wild.type
CD0258j,wild.type
CD0259a,wild.type
CD0259c,wild.type
CD0259d,wild.type
CD0259e,wild.type
CD0259f,wild.type
CD0260a,wild.type
CD0260c,wild.type
CD0260d,wild.type
CD0260e,wild.type
CD0260f,wild.type
CD0261a,wild.type
CD0261c,wild.type
CD0262c,wild.type
CD0263a,wild.type
CD0263c,wild.type
CD0263d,wild.type
CD0264a,wild.type
CD0264c,wild.type
CD0265a,wild.type
CD0265d,wild.type
CD0266a,wild.type
CD0266c,wild.type
CD0266d,wild.type
CD0267a,wild.type
CD0267c,wild.type
CD0268a,wild.type
CD0268c,wild.type
CD0268d,wild.type
CD0269a,wild.type
CD0269c,wild.type
CD0269d,wild.type
CD0270a,wild.type
CD0271a,wild.type
CD0271c,wild.type
CD0271d,wild.type
CD0272a,wild.type
CD0272c,wild.type
